target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
14650.0,2021-07-07,14950.0,15210.0,14787.5,15160.0,0.9527751227229104,-0.3036767451095703,53.53044405008509,44.44444444444444,-1670.0,-69033.7,15183.6,-60398.4,-21955.0,-7711.8,-16518.6,-14809.4,3285.0,3292.2,3275.0,3289.4,46.312094299465365,sell,71676364.0,70497345.84710838,6901757200.0,12473943425.0,13039367855.0,11668321320.0,461656.0,817817.4,867802.25,767596.8,2,1
14600.0,2021-07-08,14650.0,15130.0,14827.5,15030.0,0.9964614941176032,-0.08405052492943656,46.05733307042709,31.11111111111111,15122.0,-49746.2,19579.3,-36355.8,-14829.0,-20319.6,-16875.65,-22057.6,3253.0,3288.9,3276.4,3283.6,45.741655010276695,sell,70850108.0,70520863.78866842,12104650400.0,11623261045.0,13302750520.0,12610809340.0,826256.0,767035.4,884432.75,836217.8,3,2
14400.0,2021-07-09,14600.0,15090.0,14857.5,14950.0,0.9901811253365052,0.13979033953507772,39.2320204965638,25.581395348837212,109055.0,-26687.3,26963.6,-5826.6,-49504.0,-16860.8,-16139.85,-23328.6,3218.0,3280.4,3274.85,3270.8,46.58074290551618,sell,70053071.0,70489677.02760738,11636740200.0,11512863565.0,13637367130.0,12045884380.0,797037.0,761801.0,906626.0,802807.0,4,2
14400.0,2021-07-12,14400.0,15000.0,14882.5,14740.0,0.6869969260350652,0.7266603220338723,31.58103692018982,16.27906976744186,-72304.0,-21908.8,24598.6,-6708.2,-16233.0,-14281.4,-9298.2,-53288.6,3246.0,3274.8,3274.55,3261.4,31.303566273716612,sell,69546980.0,70426829.47732797,7287710400.0,10974722695.0,13644793005.0,9468102760.0,506091.0,729605.4,906250.0,642839.2,0,2
14150.0,2021-07-13,14400.0,14935.0,14892.5,14600.0,0.508075345246927,0.8613126282321745,26.480381202607166,16.27906976744186,15555.0,-15316.9,27085.8,13151.6,-93695.0,-19716.5,-7628.5,-39243.2,3271.0,3273.2,3275.15,3254.6,38.32161927085757,sell,69546980.0,70368171.90316452,6830856000.0,10928339310.0,13641926165.0,8952342840.0,474365.0,728572.2,905714.05,613081.0,1,2
14300.0,2021-07-14,14150.0,14800.0,14887.5,14440.0,0.30367674511027953,0.9527751227226844,21.162359398229338,10.526315789473683,-24245.0,-25880.9,29097.35,8636.6,-50718.0,-29902.6,-10168.25,-44995.8,3265.0,3270.0,3274.45,3250.6,42.08799787669845,sell,68816158.0,70264702.75819124,10341131300.0,10654269490.0,13938182542.5,9640217660.0,730822.0,717255.5,926760.4,666914.2,2,2
14350.0,2021-07-15,14300.0,14700.0,14877.5,14370.0,0.084050524929272,0.9964614941176171,20.24859047601254,18.421052631578945,-2350.0,-15606.8,27472.9,5142.2,-83748.0,-40418.6,-13218.65,-58779.6,3286.0,3270.4,3275.5,3257.2,50.252304518088515,buy,69521563.0,70215159.41431016,10087291500.0,10923777610.0,14180325492.5,9236745880.0,705405.0,739480.9,943946.4,642744.0,3,3
14400.0,2021-07-16,14350.0,14635.0,14875.0,14320.0,-0.13979033953524123,0.9901811253364821,22.442149748236005,26.82926829268293,-27731.0,-14020.8,26255.7,-22215.0,-32955.0,-39399.2,-14700.05,-55469.8,3277.0,3269.9,3275.95,3269.0,51.221749341396084,buy,70457589.0,70231321.59779258,13431973100.0,10820838420.0,14642097427.5,9595792460.0,936026.0,736674.4,976176.4,670541.8,4,3
14450.0,2021-07-19,14400.0,14530.0,14895.0,14320.0,-0.7266603220339858,0.6869969260349453,24.71753072646628,29.268292682926827,-56467.0,-12877.9,20577.0,-19047.6,-38654.0,-56621.3,-9038.7,-59954.0,3244.0,3265.0,3276.1,3268.6,58.379350748835826,buy,71539239.0,70318517.1542546,15575760000.0,10360752570.0,14988949027.5,11253402380.0,1081650.0,714246.4,999406.3,785653.6,0,3
14500.0,2021-07-20,14450.0,14465.0,14875.0,14330.0,-0.8613126282322584,0.5080753452467848,27.047459508701095,31.70731707317073,-378432.0,-42346.7,-22189.85,-97845.0,-92126.0,-49441.7,-12690.8,-59640.2,3233.0,3257.8,3274.55,3261.0,59.06457356207094,buy,73840051.0,70553288.7485491,33246733400.0,12744460350.0,14408344667.5,16536577860.0,2300812.0,882012.0,963407.1,1150943.0,1,3
